"time","x1"
0,0.96
0.002,0.96
0.004,0.96
0.006,0.96
0.008,0.96
0.01,0.96
0.012,0.96
0.014,0.96
0.016,0.96
0.018,0.96
0.02,0.96
0.022,0.96
0.024,0.96
0.026,0.96
0.028,0.96
0.03,0.96
0.032,0.96
0.034,0.96
0.036,0.96
0.038,0.96
0.04,0.96
0.042,0.96
0.044,0.96
0.046,0.96
0.048,0.96
0.05,0.96
0.052,0.96
0.054,0.96
0.056,0.96
0.058,0.96
0.06,0.96
0.062,0.96
0.064,0.96
0.066,0.96
0.068,0.96
0.07,0.96
0.072,0.96
0.074,0.96
0.076,0.96
0.078,0.96
0.08,0.96
0.082,0.96
0.084,0.96
0.086,0.96
0.088,0.96
0.09,0.96
0.092,0.96
0.094,0.96
0.096,0.96
0.098,0.96
0.1,0.96
0.102,0.96
0.104,0.96
0.106,0.96
0.108,0.96
0.11,0.96
0.112,0.96
0.114,0.96
0.116,0.96
0.118,0.96
0.12,0.96
0.122,0.96
0.124,0.96
0.126,0.96
0.128,0.96
0.13,0.96
0.132,0.96
0.134,0.96
0.136,0.96
0.138,0.96
0.14,0.96
0.142,0.96
0.144,0.96
0.146,0.96
0.148,0.96
0.15,0.96
0.152,0.96
0.154,0.96
0.156,0.96
0.158,0.96
0.16,0.96
0.162,0.96
0.164,0.96
0.166,0.96
0.168,0.96
0.17,0.96
0.172,0.96
0.174,0.96
0.176,0.96
0.178,0.96
0.18,0.96
0.182,0.96
0.184,0.96
0.186,0.96
0.188,0.96
0.19,0.96
0.192,0.96
0.194,0.96
0.196,0.96
0.198,0.96
0.2,0.96
0.202,0.96
0.204,0.96
0.206,0.96
0.208,0.96
0.21,0.96
0.212,0.96
0.214,0.96
0.216,0.96
0.218,0.96
0.22,0.96
0.222,0.96
0.224,0.96
0.226,0.96
0.228,0.96
0.23,0.96
0.232,0.96
0.234,0.96
0.236,0.96
0.238,0.96
0.24,0.96
0.242,0.96
0.244,0.96
0.246,0.96
0.248,0.96
0.25,0.96
0.252,0.96
0.254,0.96
0.256,0.96
0.258,0.96
0.26,0.96
0.262,0.96
0.264,0.96
0.266,0.96
0.268,0.96
0.27,0.96
0.272,0.96
0.274,0.96
0.276,0.96
0.278,0.96
0.28,0.96
0.282,0.96
0.284,0.96
0.286,0.96
0.288,0.96
0.29,0.96
0.292,0.96
0.294,0.96
0.296,0.96
0.298,0.96
0.3,0.96
0.302,0.96
0.304,0.96
0.306,0.96
0.308,0.96
0.31,0.96
0.312,0.96
0.314,0.96
0.316,0.96
0.318,0.96
0.32,0.96
0.322,0.96
0.324,0.96
0.326,0.96
0.328,0.96
0.33,0.96
0.332,0.96
0.334,0.96
0.336,0.96
0.338,0.96
0.34,0.96
0.342,0.96
0.344,0.96
0.346,0.96
0.348,0.96
0.35,0.96
0.352,0.96
0.354,0.96
0.356,0.96
0.358,0.96
0.36,0.96
0.362,0.96
0.364,0.96
